pinCode,stateId,stateName,districtId,districtName,cityId,cityName,countryName,status,createdDate,updatedDate
100000,0001,Andhra Pradesh,1,Anantapur,0001,Anantapur,India,Active,2026-03-03 07:35:23,2026-03-03 07:35:23
100001,0001,Andhra Pradesh,1,Anantapur,0001,Anantapur,India,Active,2026-03-03 07:35:23,2026-03-03 07:35:23
100002,0001,Andhra Pradesh,1,Anantapur,0001,Anantapur,India,Active,2026-03-03 07:35:23,2026-03-03 07:35:23
100003,0001,Andhra Pradesh,1,Anantapur,0002,Hindupur,India,Active,2026-03-03 07:35:23,2026-03-03 07:35:23
100004,0001,Andhra Pradesh,1,Anantapur,0002,Hindupur,India,Active,2026-03-03 07:35:23,2026-03-03 07:35:23
100005,0001,Andhra Pradesh,1,Anantapur,0002,Hindupur,India,Active,2026-03-03 07:35:23,2026-03-03 07:35:23
100006,0001,Andhra Pradesh,1,Anantapur,0003,Raptadu,India,Active,2026-03-03 07:35:23,2026-03-03 07:35:23
100007,0001,Andhra Pradesh,1,Anantapur,0003,Raptadu,India,Active,2026-03-03 07:35:23,2026-03-03 07:35:23
100008,0001,Andhra Pradesh,1,Anantapur,0003,Raptadu,India,Active,2026-03-03 07:35:23,2026-03-03 07:35:23
100009,0001,Andhra Pradesh,1,Anantapur,0004,Guntakal,India,Active,2026-03-03 07:35:23,2026-03-03 07:35:23
100010,0001,Andhra Pradesh,1,Anantapur,0004,Guntakal,India,Active,2026-03-03 07:35:23,2026-03-03 07:35:23
100011,0001,Andhra Pradesh,1,Anantapur,0004,Guntakal,India,Active,2026-03-03 07:35:23,2026-03-03 07:35:23
100012,0001,Andhra Pradesh,2,Chittoor,0001,Chittoor,India,Active,2026-03-03 07:35:23,2026-03-03 07:35:23
100013,0001,Andhra Pradesh,2,Chittoor,0001,Chittoor,India,Active,2026-03-03 07:35:23,2026-03-03 07:35:23
100014,0001,Andhra Pradesh,2,Chittoor,0001,Chittoor,India,Active,2026-03-03 07:35:23,2026-03-03 07:35:23
100015,0001,Andhra Pradesh,2,Chittoor,0002,Kuppam,India,Active,2026-03-03 07:35:23,2026-03-03 07:35:23
100016,0001,Andhra Pradesh,2,Chittoor,0002,Kuppam,India,Active,2026-03-03 07:35:23,2026-03-03 07:35:23
100017,0001,Andhra Pradesh,2,Chittoor,0002,Kuppam,India,Active,2026-03-03 07:35:23,2026-03-03 07:35:23
