pinCode,stateId,stateName,districtId,districtName,cityId,cityName,countryName,status,createdDate,updatedDate
3400000,0034,JAMMU AND KASHMIR,1,Srinagar,0001,Srinagar,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400001,0034,JAMMU AND KASHMIR,1,Srinagar,0001,Srinagar,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400002,0034,JAMMU AND KASHMIR,1,Srinagar,0001,Srinagar,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400003,0034,JAMMU AND KASHMIR,1,Srinagar,0002,Badgam,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400004,0034,JAMMU AND KASHMIR,1,Srinagar,0002,Badgam,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400005,0034,JAMMU AND KASHMIR,1,Srinagar,0002,Badgam,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400006,0034,JAMMU AND KASHMIR,2,Jammu,0001,Jammu,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400007,0034,JAMMU AND KASHMIR,2,Jammu,0001,Jammu,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400008,0034,JAMMU AND KASHMIR,2,Jammu,0001,Jammu,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400009,0034,JAMMU AND KASHMIR,2,Jammu,0002,Kathua,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400010,0034,JAMMU AND KASHMIR,2,Jammu,0002,Kathua,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400011,0034,JAMMU AND KASHMIR,2,Jammu,0002,Kathua,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400012,0034,JAMMU AND KASHMIR,3,Anantnag,0001,Anantnag,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400013,0034,JAMMU AND KASHMIR,3,Anantnag,0001,Anantnag,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400014,0034,JAMMU AND KASHMIR,3,Anantnag,0001,Anantnag,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400015,0034,JAMMU AND KASHMIR,3,Anantnag,0002,Kulgam,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400016,0034,JAMMU AND KASHMIR,3,Anantnag,0002,Kulgam,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400017,0034,JAMMU AND KASHMIR,3,Anantnag,0002,Kulgam,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400018,0034,JAMMU AND KASHMIR,4,Baramulla,0001,Baramulla,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400019,0034,JAMMU AND KASHMIR,4,Baramulla,0001,Baramulla,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400020,0034,JAMMU AND KASHMIR,4,Baramulla,0001,Baramulla,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400021,0034,JAMMU AND KASHMIR,4,Baramulla,0002,Kupwara,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
